name,state,population,breast,colorectal,prostate,lung,melanoma,poverty,income,region,black_alone,white_alone,asian_alone,lat,lon
baxter,ar,40992,116,38.6,122,85.6,23.9,15.6,36082,west_south_central,0.2463895394223263,96.77010148321624,0.5537665886026542,36.287189,-92.336971
benton,ar,245231,115.9,40.4,124.5,56.4,23.9,11.7,56518,west_south_central,1.4818681161843323,88.27799095546648,3.552976581264196,36.338723,-94.256187
boone,ar,37301,95.2,44.6,124.1,67.7,24.9,17.2,38410,west_south_central,0.34583523229940216,96.52020053081687,0.5120506152650063,36.308599,-93.091563
carroll,ar,27690,113.6,37.8,101.5,59.1,17.6,22.2,34109,west_south_central,1.1484290357529794,93.37667027807873,0.8847959552184904,36.341028,-93.53825
cleburne,ar,25587,112,43,151.2,83.6,16.8,16.3,41612,west_south_central,0.5588775550084027,97.119631062649,0.5745104936100364,35.53811,-92.026736
conway,ar,21060,116.3,37.8,128,75,17,21.1,38145,west_south_central,11.823361823361823,85.27540360873694,0.07597340930674264,35.262215,-92.701315
craighead,ar,102884,99.1,39.9,85,74.6,16.7,20,41608,west_south_central,13.834026670813731,80.76474476109016,1.1877454220286925,35.830789,-90.632841
crawford,ar,61927,119.7,46.5,111.2,79.1,23.9,19.2,39384,west_south_central,1.3322137355273145,90.22881780160512,1.7536777173123193,35.589091,-94.24286
crittenden,ar,49511,95.4,44.6,68.9,75.6,6.5,23.6,37726,west_south_central,50.71600250449395,45.11724667245662,0.6544000323160509,35.207942,-90.308859
cross,ar,17329,95.4,69.5,91.2,77.5,23.9,20.6,35438,west_south_central,23.273125973801143,74.67251428241676,0.30007501875468867,35.295726,-90.771227
faulkner,ar,120417,118,41.6,143.2,75.9,16.8,14.9,49936,west_south_central,11.181145519320362,83.5920177383592,1.2440103972030527,35.146979,-92.332044
franklin,ar,17799,86.3,34.4,93,77.1,15.5,20.7,38874,west_south_central,0.9214000786561043,94.3255239058374,0.35957076240238217,35.512351,-93.890619
fulton,ar,12186,85.5,45.9,117.9,64.7,17.4,22.9,33439,west_south_central,0.07385524372230429,96.5041851304776,0.14771048744460857,36.38167,-91.818237
garland,ar,97119,115.4,35.3,135.8,80.6,19.7,22.1,39057,west_south_central,8.195100855651315,85.52394485116197,0.7114982650150846,34.576686,-93.150425
grant,ar,18046,112.7,62.5,136.7,96.1,19.7,14.2,47089,west_south_central,4.366618641250138,93.84351102737449,0.1828660090878865,34.290018,-92.423583
greene,ar,43745,99.8,42.2,90.2,89.2,12,17.7,40840,west_south_central,0.9395359469653675,95.94010744085038,0.13487255686364155,36.117698,-90.559072
hot spring,ar,33440,92.9,44.6,123.7,94.2,18.2,18.5,39927,west_south_central,11.273923444976077,85.75657894736842,0.2541866028708134,34.317634,-92.946006
independence,ar,37030,94.8,43.5,135.4,82.3,19.6,18.4,37761,west_south_central,1.9497704563867135,92.5411828247367,0.8587631650013503,35.74158,-91.569724
izard,ar,13461,123,40.9,128.2,55.9,17.6,20.8,33308,west_south_central,1.2331921848302503,96.90216180075774,0.15600624024961,36.094875,-91.913417
jackson,ar,17495,91.3,61.3,127.5,104.4,21.5,27.5,32923,west_south_central,17.130608745355815,79.30265790225779,0.14289797084881395,35.599231,-91.214571
jefferson,ar,72385,119.1,42.4,182.3,97.5,12.1,25.8,36169,west_south_central,56.11245423775644,40.91040961525178,0.7998894798646128,34.268785,-91.931515
johnson,ar,26025,108.3,38,62.1,97.2,16.5,23.4,33634,west_south_central,1.7675312199807878,92.23439000960614,1.3948126801152738,35.570055,-93.45991
lawrence,ar,16915,96.4,49.8,75.6,102.7,15.2,20.4,34740,west_south_central,0.7212533254507834,97.16819391073012,0.08276677505172923,36.041247,-91.107075
logan,ar,21935,90,36.9,124.8,87,14.3,18.7,34090,west_south_central,1.7369500797811717,93.09778892181446,2.1837246409847277,35.215272,-93.716306
lonoke,ar,71279,115,42.2,159.3,91.9,18.6,12.6,55648,west_south_central,5.8937414946898805,89.24087038258112,0.7533775726371021,34.75427,-91.888668
madison,ar,15761,87,38.9,96.8,67.8,21.4,20.2,36358,west_south_central,0.6979252585495844,94.86073218704396,0.41875515512975064,36.010965,-93.724563
marion,ar,16404,118.7,31.5,132.1,82.7,28.5,19,34217,west_south_central,0.3596683735674226,96.61058278468666,0.3291880029261156,36.268347,-92.68422
miller,ar,43666,104.5,47.6,97.3,81.2,12.1,21.4,40005,west_south_central,25.17061329180598,71.18123940823524,0.1305363440663216,33.312147,-93.891561
mississippi,ar,44199,91.6,60,92.3,73.6,12.2,25.6,34285,west_south_central,34.85146722776533,61.11676734767755,0.20588701101834883,35.763902,-90.054166
pike,ar,11017,89.3,39,114.2,87.8,26.3,21.9,35592,west_south_central,3.0316783153308524,89.09866569846601,0.6989198511391486,34.163498,-93.656342
poinsett,ar,24131,99.7,49.1,85.3,114,12,24.7,34113,west_south_central,6.000580166590693,89.33736687248768,0.11603331813849406,35.574032,-90.66294
polk,ar,20290,93.6,38.7,74.6,67.1,14.8,24.4,31818,west_south_central,0.37949728930507637,92.59733859043864,0.38442582552981763,34.485843,-94.228069
pope,ar,63107,106.3,43.8,134.2,86.3,17,20,39704,west_south_central,2.9917441805188014,91.15787472071244,1.0109813491371797,35.447633,-93.03416
pulaski,ar,391806,129.6,38.8,173.7,68,20.4,17.3,46526,west_south_central,35.9032276177496,57.863075093285964,2.1487675022842936,34.769932,-92.311799
randolph,ar,17584,99.1,48.3,78.1,83.9,16.9,22.6,33148,west_south_central,1.046405823475887,96.57074613284804,0.04549590536851683,36.341483,-91.027717
saline,ar,115577,118.7,37.2,133.6,73.9,18.7,10.3,54921,west_south_central,6.047050883826367,90.1165456795037,1.0244252749249418,34.646618,-92.676573
sebastian,ar,127351,111.6,42.8,114.6,78.2,18.5,22.1,41685,west_south_central,6.5935878006454605,79.61853460122025,4.362745482956553,35.199717,-94.274141
sharp,ar,17027,126.8,47.8,97.9,89.3,18.9,22.8,31224,west_south_central,0.32301638574029484,95.69507253186116,0.5696834439419746,36.161157,-91.479864
union,ar,40334,121,46,177.3,89,14.6,21,38132,west_south_central,32.972182277978874,64.6204194971984,0.49585957256904845,33.171363,-92.597288
van buren,ar,16892,127.1,36.8,108.9,65.1,16.3,18.9,35111,west_south_central,0.5387165522140658,95.61330807482832,0.23679848448969926,35.580651,-92.515703
washington,ar,219930,119.4,39.5,125.3,67.1,23.2,20.9,43302,west_south_central,3.448824626017369,78.30446051016233,2.3953075978720504,35.979067,-94.215579
white,ar,78823,107,52.3,145.3,91.2,18.3,17.2,43363,west_south_central,4.258909201628966,91.52151021909849,0.7269451809750961,35.256274,-91.745551
yell,ar,21716,102.6,48.5,121.2,88.1,19.2,19.7,34679,west_south_central,2.716890771781175,81.54356235034076,1.418309080862037,35.002597,-93.411249
apache,az,72346,56.4,22.4,72.6,22.9,4.5,38.7,30252,mountain,0.49899096010836813,22.54029248334393,0.3580018245652835,35.395616,-109.488846
cochise,az,128177,90.1,38.1,62.9,46.9,15.9,18.8,45294,mountain,3.960148856659151,82.80424725184706,1.7553851314978506,31.879565,-109.751141
coconino,az,138064,98.5,28,83.4,36.7,21.7,23.2,48732,mountain,1.5471085873218218,63.25689535287982,1.7600533086104995,35.838729,-111.770512
